name,region,year,committee,DirectMatch,FuzzyMatch,Continent,ApproximateDoctoralGradYear,Gender,Source
Matt Welsh,Google,2016,Program,Male,Male,North America,2002,Male,FullNameMatch
Sharad Agarwal,Microsoft,2017,Program,Male,Male,North America,2004,Male,FullNameMatch
Thomas E. Anderson,University of Washington,2017,Program,Male,Male,North America,1991,Male,FullNameMatch
Andrea Arpaci-Dusseau,University of Wisconsin—Madison,2017,Program,Female,Female,North America,1998,Female,FullNameMatch
Anirudh Badam,Microsoft,2017,Program,Male,Male,North America,2012,Male,FullNameMatch
Mahesh Balakrishnan,Yale University,2017,Program,Male,Male,North America,2005,Male,FullNameMatch
Fabian Bustamante,Northwestern University,2017,Program,,Male,North America,2001,Male,FuzzyMatch
Ranveer Chandra,Microsoft,2017,Program,Male,Male,North America,2005,Male,FullNameMatch
David Choffnes,Northeastern University,2017,Program,Male,Male,North America,2010,Male,FullNameMatch
Romit Roy Choudhury,University of Illinois at Urbana-Champaign,2017,Program,Male,Male,North America,2006,Male,FullNameMatch
Mosharaf Chowdhury,University of Michigan,2017,Program,Male,Male,North America,2015,Male,FullNameMatch
Mike Dahlin,Google,2017,Program,Male,Male,North America,1995,Male,FullNameMatch
Anja Feldmann,Technische Universität Berlin,2017,Program,Female,Female,Europe,1995,Female,FullNameMatch
Rodrigo Fonseca,Brown University,2017,Program,Male,Male,North America,2015,Male,FullNameMatch
Nate Foster,Cornell University,2017,Program,Male,Male,North America,2009,Male,FullNameMatch
Deepak Ganesan,University of Massachusetts Amherst,2017,Program,Male,Male,North America,2004,Male,FullNameMatch
Phillipa Gill,University of Massachusetts Amherst,2017,Program,Female,Female,North America,2012,Female,FullNameMatch
Srikanth Kandula,Microsoft,2017,Program,Male,Male,North America,2008,Male,FullNameMatch
Teemu Koponen,Styra,2017,Program,Male,Male,North America,2004,Male,FullNameMatch
Sanjeev Kumar,Uber,2017,Program,Male,Male,Asia,2001,Male,FullNameMatch
Swarun Kumar,Carnegie Mellon University,2017,Program,Male,Male,North America,2015,Male,FullNameMatch
Wyatt Lloyd,University of Southern California,2017,Program,Male,Male,North America,2013,Male,FullNameMatch
Boon Thau Loo,University of Pennsylvania,2017,Program,Male,Male,North America,2006,Male,FullNameMatch
Jay Lorch,Microsoft,2017,Program,Male,Male,North America,2001,Male,FullNameMatch
Ratul Mahajan,Microsoft,2017,Program,Male,Male,North America,2005,Male,FullNameMatch
Dahlia Malkhi,VMware,2017,Program,Female,Female,North America,1994,Female,FullNameMatch
